Mapped_sgRNA_sequence	Chrom	Start	End	Strand
4|sgFBXO9_3|FBXO9	chr6	53082522	53082542	+
4|sgFBXO9_4|FBXO9	chr6	53092531	53092551	-
4|sgGCM1_2|GCM1	chr6	53128784	53128804	+
4|sgGCM1_3|GCM1	chr6	53134134	53134154	-
4|sgGCM1_4|GCM1	chr6	53134240	53134260	-
4|sgGCM1_1|GCM1	chr6	53134306	53134326	-
4|sgELOVL5_3|ELOVL5	chr6	53273309	53273329	+
4|sgELOVL5_1|ELOVL5	chr6	53275167	53275187	-
4|sgELOVL5_4|ELOVL5	chr6	53275227	53275247	+
4|sgELOVL5_2|ELOVL5	chr6	53291862	53291882	-
4|sgGCLC_4|GCLC	chr6	53508659	53508679	+
4|sgGCLC_3|GCLC	chr6	53514215	53514235	+
4|sgGCLC_1|GCLC	chr6	53514467	53514487	-
4|sgGCLC_2|GCLC	chr6	53520842	53520862	-
4|sgKLHL31_4|KLHL31	chr6	53652241	53652261	+
4|sgKLHL31_3|KLHL31	chr6	53652298	53652318	-
4|sgKLHL31_1|KLHL31	chr6	53654334	53654354	-
4|sgKLHL31_2|KLHL31	chr6	53654449	53654469	+
4|sgLRRC1_1|LRRC1	chr6	53879062	53879082	-
4|sgLRRC1_2|LRRC1	chr6	53897337	53897357	+
4|sgLRRC1_4|LRRC1	chr6	53899863	53899883	+
4|sgLRRC1_3|LRRC1	chr6	53913838	53913858	+
4|sgMLIP_4|MLIP	chr6	54121515	54121535	-
4|sgMLIP_2|MLIP	chr6	54124485	54124505	+
4|sgMLIP_1|MLIP	chr6	54124686	54124706	+
4|sgMLIP_3|MLIP	chr6	54124772	54124792	+
4|sgTINAG_2|TINAG	chr6	54308756	54308776	+
4|sgTINAG_1|TINAG	chr6	54320588	54320608	+
4|sgTINAG_3|TINAG	chr6	54347391	54347411	+
4|sgTINAG_4|TINAG	chr6	54347494	54347514	+
1|Neg_Control_Human_GA_0429|NegCtrl	chr6	54368101	54368121	+
4|sgKRAS_3|KRAS	chr6	54770637	54770657	-
4|sgFAM83B_3|FAM83B	chr6	54870576	54870596	+
4|sgFAM83B_1|FAM83B	chr6	54926421	54926441	+
4|sgFAM83B_4|FAM83B	chr6	54940170	54940190	-
4|sgFAM83B_2|FAM83B	chr6	54940446	54940466	-
4|sgHCRTR2_1|HCRTR2	chr6	55248632	55248652	+
4|sgHCRTR2_2|HCRTR2	chr6	55248746	55248766	-
4|sgHCRTR2_3|HCRTR2	chr6	55255346	55255366	-
4|sgHCRTR2_4|HCRTR2	chr6	55277462	55277482	+
4|sgGFRAL_2|GFRAL	chr6	55331795	55331815	+
4|sgGFRAL_4|GFRAL	chr6	55351304	55351324	+
4|sgGFRAL_1|GFRAL	chr6	55351375	55351395	+
4|sgGFRAL_3|GFRAL	chr6	55351544	55351564	-
4|sgHMGCLL1_3|HMGCLL1	chr6	55495584	55495604	-
4|sgHMGCLL1_1|HMGCLL1	chr6	55514049	55514069	-
4|sgHMGCLL1_2|HMGCLL1	chr6	55541711	55541731	+
4|sgHMGCLL1_4|HMGCLL1	chr6	55578973	55578993	-
4|sgBMP5_1|BMP5	chr6	55794377	55794397	-
4|sgBMP5_2|BMP5	chr6	55819733	55819753	-
4|sgBMP5_3|BMP5	chr6	55874473	55874493	+
4|sgBMP5_4|BMP5	chr6	55874785	55874805	-
4|sgCOL21A1_3|COL21A1	chr6	56164471	56164491	+
4|sgCOL21A1_4|COL21A1	chr6	56179639	56179659	+
4|sgCOL21A1_1|COL21A1	chr6	56179799	56179819	-
4|sgCOL21A1_2|COL21A1	chr6	56179945	56179965	-
4|sgDST_3|DST	chr6	56620009	56620029	-
4|sgDST_1|DST	chr6	56625236	56625256	-
4|sgDST_4|DST	chr6	56634139	56634159	-
4|sgDST_2|DST	chr6	56639930	56639950	-
4|sgBEND6_2|BEND6	chr6	56992436	56992456	+
4|sgBEND6_3|BEND6	chr6	56992526	56992546	-
4|sgBEND6_1|BEND6	chr6	57015153	57015173	-
4|sgBEND6_4|BEND6	chr6	57015252	57015272	-
4|sgKIAA1586_4|KIAA1586	chr6	57052817	57052837	-
4|sgKIAA1586_1|KIAA1586	chr6	57053484	57053504	-
4|sgKIAA1586_3|KIAA1586	chr6	57053666	57053686	+
4|sgKIAA1586_2|KIAA1586	chr6	57054076	57054096	-
4|sgZNF451_1|ZNF451	chr6	57099123	57099143	-
4|sgZNF451_4|ZNF451	chr6	57133129	57133149	+
4|sgZNF451_2|ZNF451	chr6	57147630	57147650	+
4|sgZNF451_3|ZNF451	chr6	57147871	57147891	+
4|sgBAG2_3|BAG2	chr6	57172713	57172733	+
4|sgBAG2_4|BAG2	chr6	57182105	57182125	+
4|sgBAG2_2|BAG2	chr6	57183797	57183817	+
4|sgBAG2_1|BAG2	chr6	57183894	57183914	-
4|sgRAB23_4|RAB23	chr6	57196515	57196535	-
4|sgRAB23_2|RAB23	chr6	57207629	57207649	-
4|sgRAB23_3|RAB23	chr6	57207671	57207691	-
4|sgRAB23_1|RAB23	chr6	57210288	57210308	-
4|sgPRIM2_4|PRIM2	chr6	57318522	57318542	-
4|sgPRIM2_3|PRIM2	chr6	57320476	57320496	+
4|sgPRIM2_1|PRIM2	chr6	57325969	57325989	-
4|sgPRIM2_2|PRIM2	chr6	57537496	57537516	+
1|Neg_Control_Human_GA_0250|NegCtrl	chr6	61144376	61144395	-
4|sgMTRNR2L9_4|MTRNR2L9	chr6	61574318	61574338	+
4|sgMTRNR2L9_2|MTRNR2L9	chr6	61574367	61574387	-
4|sgMTRNR2L9_1|MTRNR2L9	chr6	61574370	61574390	+
4|sgMTRNR2L9_3|MTRNR2L9	chr6	61574373	61574393	+
4|sgMTRNR2L1_3|MTRNR2L1	chr6	61574385	61574405	-
4|sgKHDRBS2_4|KHDRBS2	chr6	61894757	61894777	+
4|sgKHDRBS2_2|KHDRBS2	chr6	61901310	61901330	-
4|sgKHDRBS2_3|KHDRBS2	chr6	61978108	61978128	+
4|sgKHDRBS2_1|KHDRBS2	chr6	62047902	62047922	-
4|sgLGSN_4|LGSN	chr6	63280801	63280821	-
4|sgLGSN_2|LGSN	chr6	63280983	63281003	-
4|sgLGSN_1|LGSN	chr6	63281188	63281208	-
4|sgLGSN_3|LGSN	chr6	63285678	63285698	-
4|sgPTP4A1_2|PTP4A1	chr6	63578522	63578542	-
4|sgPTP4A1_4|PTP4A1	chr6	63578935	63578955	-
4|sgPTP4A1_3|PTP4A1	chr6	63578987	63579007	-
4|sgPTP4A1_1|PTP4A1	chr6	63579006	63579026	+
4|sgPHF3_2|PHF3	chr6	63684544	63684564	+
4|sgPHF3_4|PHF3	chr6	63694649	63694669	-
4|sgPHF3_3|PHF3	chr6	63706042	63706062	-
4|sgPHF3_1|PHF3	chr6	63709153	63709173	+
4|sgEYS_4|EYS	chr6	64590521	64590541	+
4|sgEYS_3|EYS	chr6	64591380	64591400	+
4|sgEYS_1|EYS	chr6	64912615	64912635	+
4|sgEYS_2|EYS	chr6	65353476	65353496	-
4|sgTMEM245_1|TMEM245	chr6	67521527	67521547	-
4|sgADGRB3_3|ADGRB3	chr6	68639385	68639405	+
4|sgADGRB3_4|ADGRB3	chr6	68943824	68943844	+
4|sgADGRB3_1|ADGRB3	chr6	68956712	68956732	+
4|sgADGRB3_2|ADGRB3	chr6	69018398	69018418	+
4|sgLMBRD1_3|LMBRD1	chr6	69701462	69701482	+
4|sgLMBRD1_1|LMBRD1	chr6	69719057	69719077	+
4|sgLMBRD1_4|LMBRD1	chr6	69780520	69780540	-
4|sgLMBRD1_2|LMBRD1	chr6	69790345	69790365	-
4|sgCOL19A1_1|COL19A1	chr6	69929596	69929616	+
4|sgCOL19A1_4|COL19A1	chr6	70121911	70121931	+
4|sgCOL19A1_3|COL19A1	chr6	70142048	70142068	-
4|sgCOL19A1_2|COL19A1	chr6	70146845	70146865	+
4|sgCOL9A1_1|COL9A1	chr6	70260673	70260693	-
4|sgCOL9A1_2|COL9A1	chr6	70268819	70268839	+
4|sgCOL9A1_4|COL9A1	chr6	70280986	70281006	+
4|sgCOL9A1_3|COL9A1	chr6	70294236	70294256	-
4|sgFAM135A_3|FAM135A	chr6	70477207	70477227	+
4|sgFAM135A_2|FAM135A	chr6	70524030	70524050	-
4|sgFAM135A_4|FAM135A	chr6	70525117	70525137	+
4|sgFAM135A_1|FAM135A	chr6	70525947	70525967	+
4|sgC6orf57_4|C6orf57	chr6	70566932	70566952	+
4|sgC6orf57_2|C6orf57	chr6	70566986	70567006	-
4|sgC6orf57_1|C6orf57	chr6	70579493	70579513	+
4|sgC6orf57_3|C6orf57	chr6	70579511	70579531	-
4|sgSMS_3|SMS	chr6	70608984	70609004	-
4|sgSMAP1_4|SMAP1	chr6	70668119	70668139	+
4|sgSMAP1_3|SMAP1	chr6	70732464	70732484	-
4|sgSMAP1_1|SMAP1	chr6	70837006	70837026	-
4|sgSMAP1_2|SMAP1	chr6	70852589	70852609	-
4|sgB3GAT2_4|B3GAT2	chr6	70955874	70955894	+
4|sgB3GAT2_2|B3GAT2	chr6	70955974	70955994	+
4|sgB3GAT2_3|B3GAT2	chr6	70956102	70956122	+
4|sgB3GAT2_1|B3GAT2	chr6	70956296	70956316	+
4|sgOGFRL1_1|OGFRL1	chr6	71289018	71289038	+
4|sgOGFRL1_4|OGFRL1	chr6	71293347	71293367	-
4|sgOGFRL1_2|OGFRL1	chr6	71296380	71296400	-
4|sgOGFRL1_3|OGFRL1	chr6	71296757	71296777	+
4|sgRIMS1_4|RIMS1	chr6	72097140	72097160	-
4|sgRIMS1_2|RIMS1	chr6	72182978	72182998	+
4|sgRIMS1_3|RIMS1	chr6	72251024	72251044	+
4|sgRIMS1_1|RIMS1	chr6	72260714	72260734	+
4|sgKCNQ5_2|KCNQ5	chr6	72622515	72622535	-
4|sgKCNQ5_4|KCNQ5	chr6	73077449	73077469	+
4|sgKCNQ5_3|KCNQ5	chr6	73169788	73169808	+
4|sgFAM133B_2|FAM133B	chr6	73175889	73175909	+
4|sgKCNQ5_1|KCNQ5	chr6	73192643	73192663	+
4|sgKHDC1L_1|KHDC1L	chr6	73209725	73209745	-
4|sgKHDC1L_2|KHDC1L	chr6	73224245	73224265	-
4|sgKHDC1L_4|KHDC1L	chr6	73224309	73224329	+
4|sgKHDC1_1|KHDC1	chr6	73242056	73242076	-
4|sgKHDC1_3|KHDC1	chr6	73242124	73242144	-
4|sgKHDC1_4|KHDC1	chr6	73242198	73242218	+
4|sgKHDC1_2|KHDC1	chr6	73242447	73242467	-
4|sgKHDC1L_3|KHDC1L	chr6	73242489	73242509	-
4|sgDPPA5_4|DPPA5	chr6	73353925	73353945	+
4|sgDPPA5_3|DPPA5	chr6	73353964	73353984	+
4|sgDPPA5_1|DPPA5	chr6	73354008	73354028	+
4|sgDPPA5_2|DPPA5	chr6	73354188	73354208	-
4|sgKHDC3L_4|KHDC3L	chr6	73362796	73362816	+
4|sgKHDC3L_1|KHDC3L	chr6	73363105	73363125	+
4|sgKHDC3L_3|KHDC3L	chr6	73363155	73363175	+
4|sgKHDC3L_2|KHDC3L	chr6	73363610	73363630	+
4|sgOOEP_3|OOEP	chr6	73369319	73369339	-
4|sgOOEP_2|OOEP	chr6	73369629	73369649	-
4|sgOOEP_1|OOEP	chr6	73369676	73369696	+
4|sgOOEP_4|OOEP	chr6	73369750	73369770	+
4|sgRPL39_3|RPL39	chr6	73373158	73373178	-
4|sgRPL39_4|RPL39	chr6	73373226	73373246	-
1|Neg_Control_Human_GA_0152|NegCtrl	chr6	73394964	73394982	+
4|sgDDX43_3|DDX43	chr6	73395019	73395039	+
4|sgDDX43_2|DDX43	chr6	73397736	73397756	-
4|sgDDX43_1|DDX43	chr6	73405749	73405769	-
4|sgDDX43_4|DDX43	chr6	73407550	73407570	-
4|sgMB21D1_2|MB21D1	chr6	73440425	73440445	-
4|sgMB21D1_4|MB21D1	chr6	73451632	73451652	-
4|sgMB21D1_3|MB21D1	chr6	73451710	73451730	+
4|sgMB21D1_1|MB21D1	chr6	73452070	73452090	+
4|sgMTO1_3|MTO1	chr6	73462057	73462077	-
4|sgMTO1_4|MTO1	chr6	73466574	73466594	+
4|sgMTO1_2|MTO1	chr6	73480035	73480055	-
4|sgMTO1_1|MTO1	chr6	73482099	73482119	+
4|sgEEF1A1_1|EEF1A1	chr6	73519334	73519354	-
4|sgSLC17A5_3|SLC17A5	chr6	73621891	73621911	+
4|sgSLC17A5_1|SLC17A5	chr6	73641706	73641726	+
4|sgSLC17A5_2|SLC17A5	chr6	73641815	73641835	-
4|sgSLC17A5_4|SLC17A5	chr6	73641908	73641928	-
4|sgCD109_1|CD109	chr6	73736389	73736409	+
4|sgCD109_3|CD109	chr6	73762837	73762857	-
4|sgCD109_4|CD109	chr6	73766022	73766042	+
4|sgCD109_2|CD109	chr6	73782732	73782752	+
4|sgCOL12A1_3|COL12A1	chr6	75133888	75133908	+
4|sgCOL12A1_4|COL12A1	chr6	75151215	75151235	-
4|sgCOL12A1_1|COL12A1	chr6	75175135	75175155	-
4|sgCOL12A1_2|COL12A1	chr6	75183248	75183268	-
4|sgCOX7A2_1|COX7A2	chr6	75240347	75240367	+
4|sgCOX7A2_3|COX7A2	chr6	75241220	75241240	-
4|sgCOX7A2_4|COX7A2	chr6	75243759	75243779	-
4|sgCOX7A2_2|COX7A2	chr6	75243791	75243811	-
4|sgTMEM30A_2|TMEM30A	chr6	75265271	75265291	+
4|sgTMEM30A_4|TMEM30A	chr6	75267657	75267677	-
4|sgTMEM30A_1|TMEM30A	chr6	75267704	75267724	+
4|sgTMEM30A_3|TMEM30A	chr6	75284484	75284504	+
4|sgFILIP1_2|FILIP1	chr6	75313577	75313597	+
4|sgFILIP1_1|FILIP1	chr6	75313880	75313900	-
4|sgFILIP1_4|FILIP1	chr6	75314804	75314824	-
4|sgFILIP1_3|FILIP1	chr6	75362841	75362861	-
4|sgSENP6_3|SENP6	chr6	75647765	75647785	+
4|sgSENP6_2|SENP6	chr6	75663307	75663327	+
4|sgSENP6_4|SENP6	chr6	75675446	75675466	+
4|sgMYO6_4|MYO6	chr6	75830529	75830549	-
4|sgMYO6_2|MYO6	chr6	75855239	75855259	+
4|sgMYO6_3|MYO6	chr6	75862683	75862703	+
4|sgMYO6_1|MYO6	chr6	75879802	75879822	+
4|sgIMPG1_2|IMPG1	chr6	75950915	75950935	+
4|sgIMPG1_3|IMPG1	chr6	76005403	76005423	-
4|sgIMPG1_1|IMPG1	chr6	76025198	76025218	+
4|sgIMPG1_4|IMPG1	chr6	76034728	76034748	-
4|sgHTR1B_2|HTR1B	chr6	77462746	77462766	+
4|sgHTR1B_1|HTR1B	chr6	77462911	77462931	-
4|sgHTR1B_4|HTR1B	chr6	77463136	77463156	+
4|sgHTR1B_3|HTR1B	chr6	77463320	77463340	+
4|sgMEI4_1|MEI4	chr6	77690778	77690798	-
4|sgMEI4_4|MEI4	chr6	77761141	77761161	-
4|sgMEI4_2|MEI4	chr6	77761478	77761498	-
4|sgMEI4_3|MEI4	chr6	77761627	77761647	-
4|sgIRAK1BP1_1|IRAK1BP1	chr6	78867710	78867730	+
4|sgIRAK1BP1_4|IRAK1BP1	chr6	78867848	78867868	-
4|sgIRAK1BP1_2|IRAK1BP1	chr6	78885412	78885432	+
4|sgIRAK1BP1_3|IRAK1BP1	chr6	78897917	78897937	-
4|sgPHIP_1|PHIP	chr6	78965954	78965974	+
4|sgPHIP_2|PHIP	chr6	78997554	78997574	-
4|sgPHIP_4|PHIP	chr6	79001996	79002016	+
4|sgPHIP_3|PHIP	chr6	79060559	79060579	-
4|sgHMGN3_3|HMGN3	chr6	79202360	79202380	+
4|sgHMGN3_1|HMGN3	chr6	79208548	79208568	-
4|sgHMGN3_2|HMGN3	chr6	79214973	79214993	-
4|sgHMGN3_4|HMGN3	chr6	79215006	79215026	-
4|sgLCA5_1|LCA5	chr6	79489104	79489124	-
4|sgLCA5_3|LCA5	chr6	79491603	79491623	-
4|sgLCA5_4|LCA5	chr6	79513543	79513563	+
4|sgLCA5_2|LCA5	chr6	79513718	79513738	+
4|sgSH3BGRL2_4|SH3BGRL2	chr6	79673683	79673703	+
4|sgSH3BGRL2_3|SH3BGRL2	chr6	79673711	79673731	+
4|sgSH3BGRL2_1|SH3BGRL2	chr6	79673729	79673749	+
4|sgSH3BGRL2_2|SH3BGRL2	chr6	79673769	79673789	-
4|sgC6orf7_2|C6orf7	chr6	79807279	79807299	+
4|sgC6orf7_1|C6orf7	chr6	79807298	79807318	+
4|sgC6orf7_3|C6orf7	chr6	79870261	79870281	-
4|sgC6orf7_4|C6orf7	chr6	79870270	79870290	+
4|sgELOVL4_4|ELOVL4	chr6	79921643	79921663	+
4|sgELOVL4_3|ELOVL4	chr6	79925010	79925030	-
4|sgELOVL4_2|ELOVL4	chr6	79926317	79926337	+
4|sgELOVL4_1|ELOVL4	chr6	79947198	79947218	-
4|sgTTK_4|TTK	chr6	80007836	80007856	+
4|sgTTK_2|TTK	chr6	80010876	80010896	+
4|sgTTK_3|TTK	chr6	80011514	80011534	+
4|sgTTK_1|TTK	chr6	80026390	80026410	-
4|sgBCKDHB_3|BCKDHB	chr6	80106811	80106831	-
4|sgBCKDHB_4|BCKDHB	chr6	80127591	80127611	-
4|sgBCKDHB_1|BCKDHB	chr6	80167701	80167721	-
4|sgBCKDHB_2|BCKDHB	chr6	80168891	80168911	+
1|Neg_Control_Human_GA_0392|NegCtrl	chr6	80891194	80891214	-
4|sgFAM46A_2|FAM46A	chr6	81750242	81750262	-
4|sgFAM46A_1|FAM46A	chr6	81750394	81750414	-
4|sgFAM46A_4|FAM46A	chr6	81751581	81751601	+
4|sgFAM46A_3|FAM46A	chr6	81751963	81751983	-
4|sgIBTK_3|IBTK	chr6	82216077	82216097	-
4|sgIBTK_2|IBTK	chr6	82218060	82218080	+
4|sgIBTK_1|IBTK	chr6	82223474	82223494	+
4|sgIBTK_4|IBTK	chr6	82225621	82225641	+
4|sgTPBG_3|TPBG	chr6	82365191	82365211	+
4|sgTPBG_4|TPBG	chr6	82365438	82365458	-
4|sgTPBG_2|TPBG	chr6	82365506	82365526	-
4|sgTPBG_1|TPBG	chr6	82365712	82365732	-
4|sgUBE3D_4|UBE3D	chr6	83023991	83024011	-
4|sgUBE3D_3|UBE3D	chr6	83038445	83038465	-
4|sgUBE3D_1|UBE3D	chr6	83044468	83044488	-
4|sgUBE3D_2|UBE3D	chr6	83065643	83065663	-
4|sgDOPEY1_3|DOPEY1	chr6	83110186	83110206	-
4|sgDOPEY1_4|DOPEY1	chr6	83122942	83122962	+
4|sgDOPEY1_1|DOPEY1	chr6	83129078	83129098	+
4|sgDOPEY1_2|DOPEY1	chr6	83130295	83130315	+
4|sgPGM3_3|PGM3	chr6	83181719	83181739	+
4|sgPGM3_1|PGM3	chr6	83182906	83182926	-
4|sgPGM3_2|PGM3	chr6	83187021	83187041	-
4|sgPGM3_4|PGM3	chr6	83190868	83190888	-
4|sgRWDD2A_1|RWDD2A	chr6	83195635	83195655	-
4|sgRWDD2A_2|RWDD2A	chr6	83195684	83195704	+
4|sgRWDD2A_4|RWDD2A	chr6	83195748	83195768	+
4|sgRWDD2A_3|RWDD2A	chr6	83195860	83195880	-
4|sgME1_1|ME1	chr6	83237803	83237823	+
4|sgME1_3|ME1	chr6	83315375	83315395	+
4|sgME1_2|ME1	chr6	83346243	83346263	+
4|sgME1_4|ME1	chr6	83352111	83352131	-
4|sgPRSS35_3|PRSS35	chr6	83523541	83523561	+
4|sgPRSS35_4|PRSS35	chr6	83523710	83523730	+
4|sgPRSS35_2|PRSS35	chr6	83524033	83524053	+
4|sgPRSS35_1|PRSS35	chr6	83524203	83524223	+
4|sgSNAP91_2|SNAP91	chr6	83593479	83593499	+
4|sgSNAP91_3|SNAP91	chr6	83593635	83593655	+
4|sgSNAP91_1|SNAP91	chr6	83659029	83659049	-
4|sgSNAP91_4|SNAP91	chr6	83665494	83665514	-
4|sgRIPPLY2_3|RIPPLY2	chr6	83853418	83853438	+
4|sgRIPPLY2_4|RIPPLY2	chr6	83853439	83853459	+
4|sgRIPPLY2_1|RIPPLY2	chr6	83853680	83853700	+
4|sgRIPPLY2_2|RIPPLY2	chr6	83853748	83853768	+
4|sgCYB5R4_3|CYB5R4	chr6	83914404	83914424	+
4|sgCYB5R4_1|CYB5R4	chr6	83918043	83918063	+
4|sgCYB5R4_4|CYB5R4	chr6	83922429	83922449	+
4|sgCYB5R4_2|CYB5R4	chr6	83934630	83934650	+
4|sgMRAP2_3|MRAP2	chr6	84055352	84055372	-
4|sgMRAP2_1|MRAP2	chr6	84062898	84062918	-
4|sgMRAP2_4|MRAP2	chr6	84062982	84063002	-
4|sgMRAP2_2|MRAP2	chr6	84089154	84089174	-
4|sgCEP162_4|CEP162	chr6	84169335	84169355	-
4|sgCEP162_3|CEP162	chr6	84185323	84185343	+
4|sgCEP162_2|CEP162	chr6	84215426	84215446	-
4|sgTBX18_1|TBX18	chr6	84738539	84738559	-
4|sgTBX18_4|TBX18	chr6	84748034	84748054	+
4|sgTBX18_2|TBX18	chr6	84756757	84756777	+
4|sgTBX18_3|TBX18	chr6	84760273	84760293	-
4|sgWWC2_2|WWC2	chr6	84793368	84793388	+
4|sgKPNA4_1|KPNA4	chr6	85287103	85287123	+
4|sgNT5E_4|NT5E	chr6	85450357	85450377	-
4|sgNT5E_3|NT5E	chr6	85467167	85467187	-
4|sgNT5E_1|NT5E	chr6	85471369	85471389	+
4|sgNT5E_2|NT5E	chr6	85487443	85487463	+
4|sgSNX14_4|SNX14	chr6	85533618	85533638	+
4|sgSNX14_1|SNX14	chr6	85536841	85536861	-
4|sgSNX14_2|SNX14	chr6	85567521	85567541	+
4|sgSNX14_3|SNX14	chr6	85574312	85574332	-
4|sgSYNCRIP_4|SYNCRIP	chr6	85619269	85619289	-
4|sgSYNCRIP_2|SYNCRIP	chr6	85624012	85624032	-
4|sgSYNCRIP_3|SYNCRIP	chr6	85637067	85637087	-
4|sgHTR1E_1|HTR1E	chr6	87015615	87015635	-
4|sgHTR1E_3|HTR1E	chr6	87015752	87015772	-
4|sgHTR1E_4|HTR1E	chr6	87015893	87015913	-
4|sgHTR1E_2|HTR1E	chr6	87015936	87015956	+
4|sgCGA_1|CGA	chr6	87086308	87086328	-
4|sgCGA_3|CGA	chr6	87086364	87086384	-
4|sgCGA_4|CGA	chr6	87086413	87086433	-
4|sgCGA_2|CGA	chr6	87088114	87088134	-
4|sgZNF292_2|ZNF292	chr6	87245565	87245585	-
4|sgZNF292_4|ZNF292	chr6	87256444	87256464	+
4|sgZNF292_1|ZNF292	chr6	87257650	87257670	+
4|sgZNF292_3|ZNF292	chr6	87258537	87258557	-
4|sgGJB7_1|GJB7	chr6	87284559	87284579	-
4|sgGJB7_4|GJB7	chr6	87284616	87284636	-
4|sgGJB7_3|GJB7	chr6	87284675	87284695	+
4|sgGJB7_2|GJB7	chr6	87284840	87284860	+
4|sgSMIM8_3|SMIM8	chr6	87337079	87337099	+
4|sgSMIM8_1|SMIM8	chr6	87337148	87337168	-
4|sgSMIM8_2|SMIM8	chr6	87340120	87340140	+
4|sgSMIM8_4|SMIM8	chr6	87340141	87340161	+
4|sgC6orf163_2|C6orf163	chr6	87356320	87356340	+
4|sgC6orf163_3|C6orf163	chr6	87356382	87356402	+
4|sgC6orf163_4|C6orf163	chr6	87356458	87356478	+
4|sgC6orf163_1|C6orf163	chr6	87365016	87365036	+
4|sgC6orf165_2|C6orf165	chr6	87413878	87413898	+
4|sgC6orf165_3|C6orf165	chr6	87418283	87418303	-
4|sgC6orf165_1|C6orf165	chr6	87428664	87428684	+
4|sgC6orf165_4|C6orf165	chr6	87428802	87428822	+
4|sgSLC35A1_2|SLC35A1	chr6	87477427	87477447	+
4|sgSLC35A1_1|SLC35A1	chr6	87477504	87477524	+
4|sgSLC35A1_4|SLC35A1	chr6	87500595	87500615	-
4|sgSLC35A1_3|SLC35A1	chr6	87501260	87501280	+
4|sgRARS2_3|RARS2	chr6	87524588	87524608	+
4|sgRARS2_1|RARS2	chr6	87545618	87545638	+
4|sgRARS2_2|RARS2	chr6	87555404	87555424	-
4|sgRARS2_4|RARS2	chr6	87562750	87562770	-
4|sgORC3_3|ORC3	chr6	87607802	87607822	+
4|sgORC3_4|ORC3	chr6	87612214	87612234	+
4|sgORC3_1|ORC3	chr6	87621466	87621486	-
4|sgORC3_2|ORC3	chr6	87634949	87634969	-
4|sgAKIRIN2_1|AKIRIN2	chr6	87681619	87681639	+
4|sgAKIRIN2_4|AKIRIN2	chr6	87681657	87681677	+
4|sgAKIRIN2_2|AKIRIN2	chr6	87701494	87701514	-
4|sgAKIRIN2_3|AKIRIN2	chr6	87701619	87701639	+
4|sgSPACA1_1|SPACA1	chr6	88047984	88048004	-
4|sgSPACA1_3|SPACA1	chr6	88048097	88048117	-
4|sgSPACA1_2|SPACA1	chr6	88057673	88057693	+
4|sgSPACA1_4|SPACA1	chr6	88059513	88059533	-
4|sgCNR1_3|CNR1	chr6	88144404	88144424	+
4|sgCNR1_1|CNR1	chr6	88144617	88144637	-
4|sgCNR1_4|CNR1	chr6	88144697	88144717	+
4|sgCNR1_2|CNR1	chr6	88144980	88145000	-
4|sgACTG2_1|ACTG2	chr6	88276277	88276297	-
4|sgRNGTT_3|RNGTT	chr6	88853632	88853652	-
4|sgRNGTT_1|RNGTT	chr6	88891817	88891837	-
4|sgRNGTT_2|RNGTT	chr6	88904762	88904782	-
4|sgRNGTT_4|RNGTT	chr6	88963368	88963388	+
4|sgAP4S1_3|AP4S1	chr6	89059640	89059660	+
4|sgAP4S1_1|AP4S1	chr6	89059832	89059852	+
4|sgPNRC1_3|PNRC1	chr6	89080954	89080974	-
4|sgPNRC1_2|PNRC1	chr6	89081248	89081268	+
4|sgPNRC1_4|PNRC1	chr6	89081375	89081395	+
4|sgPNRC1_1|PNRC1	chr6	89083805	89083825	-
4|sgSRSF12_2|SRSF12	chr6	89098886	89098906	-
4|sgSRSF12_3|SRSF12	chr6	89107171	89107191	-
4|sgSRSF12_4|SRSF12	chr6	89107220	89107240	+
4|sgSRSF12_1|SRSF12	chr6	89117835	89117855	-
4|sgPM20D2_3|PM20D2	chr6	89149279	89149299	+
4|sgPM20D2_1|PM20D2	chr6	89149368	89149388	-
4|sgPM20D2_2|PM20D2	chr6	89153091	89153111	-
4|sgPM20D2_4|PM20D2	chr6	89154743	89154763	+
4|sgGABRR1_4|GABRR1	chr6	89181961	89181981	+
4|sgGABRR1_2|GABRR1	chr6	89190181	89190201	+
4|sgGABRR1_3|GABRR1	chr6	89199372	89199392	-
4|sgGABRR1_1|GABRR1	chr6	89201174	89201194	-
4|sgGABRR2_4|GABRR2	chr6	89264599	89264619	-
4|sgGABRR2_2|GABRR2	chr6	89265732	89265752	+
4|sgGABRR2_3|GABRR2	chr6	89267721	89267741	+
4|sgGABRR2_1|GABRR2	chr6	89299748	89299768	+
4|sgUBE2J1_4|UBE2J1	chr6	89338229	89338249	-
4|sgUBE2J1_3|UBE2J1	chr6	89338448	89338468	+
4|sgUBE2J1_2|UBE2J1	chr6	89338523	89338543	-
4|sgUBE2J1_1|UBE2J1	chr6	89342380	89342400	-
4|sgRRAGD_4|RRAGD	chr6	89380357	89380377	-
4|sgRRAGD_2|RRAGD	chr6	89387434	89387454	-
4|sgRRAGD_1|RRAGD	chr6	89387535	89387555	-
4|sgRRAGD_3|RRAGD	chr6	89411862	89411882	-
4|sgANKRD6_2|ANKRD6	chr6	89567074	89567094	+
4|sgANKRD6_3|ANKRD6	chr6	89603080	89603100	+
4|sgANKRD6_4|ANKRD6	chr6	89616584	89616604	+
4|sgANKRD6_1|ANKRD6	chr6	89624641	89624661	+
